rank,symbol,inst_id,name_cn,1H_趋势,1H_交易价格,1H_交易时间,1H_盈亏%,1H_收盘价,MACD_1H,DIF_1H,ADX_1H,ATR_1H,SAR_1H,SAR颜色_1H,ER_1H,4H_趋势,4H_交易价格,4H_交易时间,4H_盈亏%,4H_收盘价,MACD_4H,DIF_4H,ADX_4H,ATR_4H,SAR_4H,SAR颜色_4H,ER_4H,1D_趋势,1D_交易价格,1D_交易时间,1D_盈亏%,1D_收盘价,MACD_1D,DIF_1D,ADX_1D,ATR_1D,SAR_1D,SAR颜色_1D,ER_1D,15m_趋势,15m_交易价格,15m_交易时间,15m_盈亏%,15m_收盘价,MACD_15m,DIF_15m,ADX_15m,ATR_15m,SAR_15m,SAR颜色_15m,ER_15m
31,GRAM,GRAM-USDT-SWAP,,下跌,1.366,2026-9-18 20:00:00,-5.86,1.374,-0.0032,0.0064,34.24,7.2052,1.365,green,0.2381,上涨,1.316,2026-9-17 04:00:00,44.07,1.374,0.0121,0.0089,27.59,13.5371,1.357,green,0.5667,上涨,1.372,2026-9-18 00:00:00,1.46,1.374,0.0015,-0.0104,13.29,38.064,1.331,green,0.0282,上涨,1.371,2026-9-19 10:15:00,2.19,1.374,0.0014,0.0003,17.72,3.7846,1.371,green,0.2381
32,HBAR,HBAR-USDT-SWAP,,下跌,0.0792,2026-9-19 05:00:00,-0.88,0.0793,-0.0001,0.0009,34.11,10.0883,0.0788,green,0.1522,上涨,0.0744,2026-9-17 16:00:00,65.47,0.0793,0.0011,0.0009,24.5,21.4376,0.0782,green,0.681,上涨,0.0793,2026-9-19 00:00:00,0.0,0.0793,-0.0002,0.0008,23.43,46.6583,0.0736,green,0.2677,上涨,0.0795,2026-9-19 10:00:00,-2.77,0.0793,-0.0,0.0001,14.97,5.0441,0.0791,green,0.1692
33,SUI,SUI-USDT-SWAP,,下跌,0.8,2026-9-18 20:00:00,-33.75,0.827,-0.001,0.0167,62.27,13.6638,0.8115,green,0.473,上涨,0.7075,2026-9-17 00:00:00,168.9,0.827,0.0226,0.0263,38.36,23.4583,0.8068,green,0.8884,上涨,0.8033,2026-9-18 00:00:00,29.5,0.827,0.0073,0.0051,18.76,59.3712,0.7286,green,0.4623,下跌,0.8216,2026-9-19 11:15:00,-6.57,0.827,-0.0002,0.0036,18.67,7.2551,0.821,green,0.2135
34,TAO,TAO-USDT-SWAP,,下跌,246.7,2026-9-18 20:00:00,-43.78,257.5,0.0156,4.4177,43.14,14.6517,251.6,green,0.7248,上涨,218.2,2026-9-17 00:00:00,180.11,257.5,7.0861,6.1642,32.77,25.4117,247.1,green,0.9267,上涨,257.4,2026-9-19 00:00:00,0.0,257.4,-0.4444,4.6342,26.4,60.7871,226.556,green,0.3364,上涨,253.1,2026-9-19 10:15:00,17.38,257.5,1.1505,1.9931,22.26,7.3608,256.1585,green,0.6104
35,OKB,OKB-USDT-SWAP,,下跌,116.61,2026-9-19 06:00:00,-3.52,117.02,-0.0328,0.9829,43.24,8.7891,116.126,green,0.0599,上涨,110.45,2026-9-17 00:00:00,59.48,117.02,1.2675,1.0853,26.79,14.6701,115.63,green,0.6147,上涨,115.72,2026-9-18 00:00:00,11.23,117.02,-0.5478,2.2587,17.9,40.1137,110.5368,green,0.1909,下跌,117.02,2026-9-19 11:45:00,0.0,117.02,0.027,0.2014,17.86,4.1685,116.71,green,0.0279
36,ASTER,ASTER-USDT-SWAP,,上涨,0.7599,2026-9-19 05:00:00,24.21,0.7783,0.0041,0.0099,42.82,12.8485,0.7734,green,0.3543,下跌,0.7533,2026-9-18 20:00:00,-33.05,0.7782,0.0096,0.0186,38.76,20.4318,0.7529,green,0.8056,上涨,0.7533,2026-9-18 00:00:00,33.19,0.7783,0.0017,0.0152,31.18,53.8353,0.694,green,0.6942,下跌,0.7672,2026-9-19 07:45:00,-14.47,0.7783,-0.0015,0.0046,32.56,7.3237,0.7781,green,0.0294
37,AAVE,AAVE-USDT-SWAP,,下跌,134.13,2026-9-18 15:00:00,-68.81,143.36,0.3025,3.1457,60.3,16.4188,140.2993,green,0.3333,上涨,121.63,2026-9-17 08:00:00,178.66,143.36,4.0005,4.2004,32.22,27.5077,137.42,green,0.9253,上涨,143.36,2026-9-19 00:00:00,0.0,143.36,0.2239,4.6614,32.94,59.8793,125.59,green,0.4428,下跌,143.51,2026-9-19 11:30:00,1.05,143.36,0.2028,1.3432,32.21,8.999,143.17,green,0.0805
38,WLFI,WLFI-USDT-SWAP,,下跌,0.0588,2026-9-19 09:00:00,3.91,0.0586,-0.0,0.0002,17.98,10.2389,0.0584,green,0.4312,下跌,0.0586,2026-9-19 08:00:00,0.0,0.0586,0.0001,0.0004,12.58,18.7713,0.0583,green,0.1013,上涨,0.0575,2026-9-14 00:00:00,18.61,0.0586,0.0005,0.0001,25.22,47.7816,0.0564,green,0.2654,下跌,0.0585,2026-9-19 11:15:00,-1.37,0.0586,-0.0001,-0.0,20.3,5.1195,0.0584,green,0.6145
39,PUMP,PUMP-USDT-SWAP,,下跌,0.0042,2026-9-18 19:00:00,-23.92,0.0043,-0.0,0.0,42.23,23.2558,0.0042,green,0.3913,下跌,0.0043,2026-9-19 08:00:00,0.0,0.0043,0.0001,0.0002,38.62,46.5116,0.0042,green,0.3173,上涨,0.004,2026-9-17 00:00:00,76.98,0.0043,-0.0,0.0,24.3,93.0233,0.0039,green,0.5875,上涨,0.0042,2026-9-19 09:15:00,16.38,0.0043,0.0,-0.0,24.85,0.0,0.0043,red,0.38
40,ONDO,ONDO-USDT-SWAP,,下跌,0.3741,2026-9-18 03:00:00,-86.61,0.4065,-0.0003,0.0071,46.3,16.2362,0.3991,green,0.4767,上涨,0.338,2026-9-17 00:00:00,202.66,0.4065,0.0102,0.0146,39.19,28.7823,0.3803,green,0.8028,上涨,0.3727,2026-9-17 00:00:00,90.69,0.4065,0.0087,0.0045,14.05,62.2386,0.3478,green,0.4472,下跌,0.4065,2026-9-19 11:30:00,0.0,0.4065,0.0003,0.0025,22.37,8.8561,0.4054,green,0.25
